  Lines           Copies        Function name
      975 (0.1%)     19 (0.1%)  <axum::boxed::MakeErasedHandler<H,S,B> as axum::boxed::ErasedIntoRoute<S,B,core::convert::Infallible>>::into_route
      974 (0.1%)     31 (0.1%)  <tower::util::map_response::MapResponse<S,F> as core::clone::Clone>::clone
      972 (0.1%)     12 (0.0%)  tokio::runtime::context::runtime::enter_runtime::{{closure}}
      969 (0.1%)     17 (0.1%)  alloc::boxed::Box<T,A>::new_uninit_in
      969 (0.1%)     17 (0.1%)  hashbrown::raw::RawTable<T,A>::find::{{closure}}
      969 (0.1%)      4 (0.0%)  alloc::collections::binary_heap::BinaryHeap<T,A>::sift_up
      966 (0.1%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::UserAgent>::deserialize::__Visitor as serde::de::Visitor>::visit_map
      964 (0.1%)     11 (0.0%)  bincode::internal::serialize_into
      962 (0.1%)     13 (0.0%)  hashbrown::raw::RawIterRange<T>::new
      962 (0.1%)     11 (0.0%)  <serde_json::de::MapKey<R> as serde::de::Deserializer>::deserialize_any
      958 (0.1%)      1 (0.0%)  scylla::transport::session::Session::connect::{{closure}}
      952 (0.1%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CollectorConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
      946 (0.1%)     11 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::iter::traits::collect::FromIterator<(K,V)>>::from_iter
      945 (0.1%)     31 (0.1%)  core::option::Option<T>::ok_or_else
      936 (0.1%)      1 (0.0%)  stract_core::entrypoint::search_server::SearchService::new::{{closure}}
      930 (0.1%)     24 (0.1%)  tokio::runtime::coop::budget
      929 (0.1%)     19 (0.1%)  axum::routing::method_routing::MethodRouter<S,B>::on
      925 (0.1%)      2 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
      924 (0.1%)     28 (0.1%)  <toml_edit::de::value::ValueDeserializer as serde::de::Deserializer>::deserialize_struct::{{closure}}
      920 (0.1%)     23 (0.1%)  alloc::vec::into_iter::IntoIter<T,A>::as_raw_mut_slice
      920 (0.1%)     10 (0.0%)  core::sync::atomic::atomic_store
      920 (0.1%)      1 (0.0%)  axum::routing::method_routing::MethodRouter<S,B,E>::call_with_state
      919 (0.1%)      1 (0.0%)  stract_core::searcher::api::ApiSearcher::search_websites::{{closure}}
      918 (0.1%)      6 (0.0%)  <tokio_util::codec::framed_impl::FramedImpl<T,U,R> as futures_core::stream::Stream>::poll_next::{{closure}}
      918 (0.1%)      6 (0.0%)  tokio::runtime::scheduler::current_thread::CurrentThread::block_on::{{closure}}
      916 (0.1%)      4 (0.0%)  sonic::Request<Req,Res>::respond::{{closure}}
      915 (0.1%)      1 (0.0%)  <h2::codec::framed_read::FramedRead<T> as futures_core::stream::Stream>::poll_next
      913 (0.1%)     11 (0.0%)  <alloc::collections::btree::map::BTreeMap<K,V,A> as core::clone::Clone>::clone
      910 (0.1%)      2 (0.0%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree_for_bifurcation
      904 (0.1%)      8 (0.0%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Owned,K,V,alloc::collections::btree::node::marker::Internal>::from_new_internal
      903 (0.1%)      7 (0.0%)  core::slice::sort::merge_sort::RunVec<RunAllocF,RunDeallocF>::push
      899 (0.1%)      2 (0.0%)  utoipa::openapi::schema::_::<impl serde::ser::Serialize for utoipa::openapi::schema::AllOf>::serialize
      899 (0.1%)      2 (0.0%)  utoipa::openapi::schema::_::<impl serde::ser::Serialize for utoipa::openapi::schema::OneOf>::serialize
      896 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::dealloc
      896 (0.1%)      8 (0.0%)  hashbrown::raw::RawTable<T,A>::into_allocation
      894 (0.1%)     13 (0.0%)  alloc::collections::btree::mem::replace
      889 (0.1%)      1 (0.0%)  <tracing_subscriber::fmt::format::Format<tracing_subscriber::fmt::format::Full,T> as tracing_subscriber::fmt::format::FormatEvent<S,N>>::format_event
      886 (0.1%)     49 (0.2%)  <&mut bincode::de::Deserializer<R,O> as serde::de::Deserializer>::deserialize_tuple
      885 (0.1%)     15 (0.0%)  tokio::task::spawn::spawn
      874 (0.1%)     19 (0.1%)  std::collections::hash::map::HashMap<K,V>::new
      870 (0.1%)     30 (0.1%)  tokio::runtime::scheduler::Handle::spawn
      870 (0.1%)      8 (0.0%)  alloc::collections::btree::node::InternalNode<K,V>::new
      870 (0.1%)      2 (0.0%)  hyper::server::conn::Connection<I,S,E>::upgrade_h2
      869 (0.1%)     14 (0.0%)  core::iter::adapters::map::map_try_fold::{{closure}}
      866 (0.1%)     15 (0.0%)  <serde_json::de::MapAccess<R> as serde::de::MapAccess>::next_value_seed
      865 (0.1%)      1 (0.0%)  h2::codec::framed_write::FramedWrite<T,B>::flush
      861 (0.1%)      1 (0.0%)  stract_core::crawler::worker::WorkerThread::crawl_url::{{closure}}
      860 (0.1%)     10 (0.0%)  <serde_path_to_error::de::SeqAccess<X> as serde::de::SeqAccess>::next_element_seed
      856 (0.1%)      4 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
      847 (0.1%)     55 (0.2%)  core::option::Option<T>::unwrap
      846 (0.1%)      9 (0.0%)  bincode::internal::serialize
      846 (0.1%)      8 (0.0%)  alloc::collections::btree::node::LeafNode<K,V>::new
      845 (0.1%)     29 (0.1%)  serde::de::Visitor::visit_i64
      843 (0.1%)      8 (0.0%)  hashbrown::raw::RawTable<T,A>::insert_no_grow
      838 (0.1%)     35 (0.1%)  serde::de::Visitor::visit_none
      833 (0.1%)     17 (0.1%)  hashbrown::raw::RawTable<T,A>::find
      832 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::header
      832 (0.1%)     26 (0.1%)  <&mut bincode::ser::SizeChecker<O> as serde::ser::Serializer>::serialize_some
      829 (0.1%)     26 (0.1%)  <tower::util::map_future::MapFuture<S,F> as core::clone::Clone>::clone
      828 (0.1%)     23 (0.1%)  alloc::vec::Vec<T,A>::reserve
      824 (0.1%)      5 (0.0%)  tokio::sync::mpsc::bounded::Sender<T>::send::{{closure}}
      824 (0.1%)      4 (0.0%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::fold
      822 (0.1%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CrawlCoordinatorConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
      818 (0.1%)      1 (0.0%)  scylla::transport::topology::query_user_defined_types::{{closure}}
      812 (0.1%)      2 (0.0%)  sonic::ResilientConnection<Req,Res>::create_with_timeout::{{closure}}
      811 (0.1%)      8 (0.0%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>::push
      808 (0.1%)      8 (0.0%)  <toml::de::Deserializer as serde::de::Deserializer>::deserialize_struct
      803 (0.1%)     11 (0.0%)  alloc::vec::Vec<T,A>::spare_capacity_mut
      802 (0.1%)      1 (0.0%)  <tokio_util::codec::framed_impl::FramedImpl<T,U,R> as futures_core::stream::Stream>::poll_next
      800 (0.1%)     10 (0.0%)  <serde_path_to_error::de::TrackedSeed<X> as serde::de::DeserializeSeed>::deserialize
      796 (0.1%)      1 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_read_head
      792 (0.1%)      4 (0.0%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
      791 (0.1%)      1 (0.0%)  scylla::transport::topology::create_peer_from_row::{{closure}}
      787 (0.1%)      1 (0.0%)  stract_core::api::search::api::{{closure}}
      783 (0.1%)     27 (0.1%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
      783 (0.1%)      2 (0.0%)  utoipa::openapi::schema::_::<impl serde::ser::Serialize for utoipa::openapi::schema::AnyOf>::serialize
      782 (0.1%)     23 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
      780 (0.1%)     15 (0.0%)  <&mut bincode::de::Deserializer<R,O> as serde::de::Deserializer>::deserialize_seq
      775 (0.1%)      5 (0.0%)  tokio::sync::mpsc::bounded::Sender<T>::reserve_inner::{{closure}}
      775 (0.1%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::ApiThresholds>::deserialize::__Visitor as serde::de::Visitor>::visit_map
      773 (0.1%)      1 (0.0%)  scylla::transport::cluster::ClusterData::new::{{closure}}
      768 (0.1%)      4 (0.0%)  sonic::service::Server<S>::accept::{{closure}}
      765 (0.1%)      7 (0.0%)  <core::array::iter::IntoIter<T,_> as core::iter::traits::iterator::Iterator>::next
      761 (0.1%)      8 (0.0%)  hashbrown::rustc_entry::<impl hashbrown::map::HashMap<K,V,S,A>>::rustc_entry
      760 (0.1%)      4 (0.0%)  sonic::service::Server<S>::bind::{{closure}}
      758 (0.1%)      2 (0.0%)  hyper::server::server::Server<I,S,E>::poll_next_
      758 (0.1%)      1 (0.0%)  h2::proto::connection::Connection<T,P,B>::poll
      757 (0.1%)      1 (0.0%)  flate2::gz::GzHeaderParser::parse
      755 (0.1%)      1 (0.0%)  stract_core::entrypoint::search_server::run::{{closure}}
      754 (0.1%)      7 (0.0%)  core::array::iter::IntoIter<T,_>::as_mut_slice
      753 (0.1%)      4 (0.0%)  tokio::sync::mpsc::chan::Rx<T,S>::recv::{{closure}}
      750 (0.1%)      5 (0.0%)  tokio::sync::mpsc::bounded::Sender<T>::reserve::{{closure}}
      750 (0.1%)      1 (0.0%)  chitchat::server::resolve_seed_host::{{closure}}
      748 (0.1%)      4 (0.0%)  alloc::vec::Vec<T,A>::into_boxed_slice
      744 (0.1%)     93 (0.3%)  serde::ser::impls::<impl serde::ser::Serialize for alloc::vec::Vec<T>>::serialize
      744 (0.1%)      1 (0.0%)  utoipa::openapi::path::_::<impl serde::ser::Serialize for utoipa::openapi::path::Operation>::serialize
      741 (0.1%)     13 (0.0%)  hashbrown::raw::Bucket<T>::next_n
      739 (0.1%)     14 (0.0%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
      728 (0.1%)      4 (0.0%)  <futures_util::stream::futures_ordered::FuturesOrdered<Fut> as futures_core::stream::Stream>::poll_next
      725 (0.1%)      1 (0.0%)  scylla::transport::session::Session::query_paged::{{closure}}
      723 (0.1%)      1 (0.0%)  scylla::transport::topology::query_tables_schema::{{closure}}
      721 (0.1%)      1 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::maybe_notify
      718 (0.1%)     17 (0.1%)  <toml_edit::de::key::KeyDeserializer as serde::de::Deserializer>::deserialize_any
      717 (0.1%)      3 (0.0%)  entity_index::_::<impl serde::ser::Serialize for entity_index::StoredEntity>::serialize
      717 (0.1%)      3 (0.0%)  stract_core::ranking::pipeline::_::<impl serde::ser::Serialize for stract_core::ranking::pipeline::RankingWebsite>::serialize
      710 (0.1%)     10 (0.0%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
      709 (0.1%)      4 (0.0%)  <<distributed::member::_::<impl serde::de::Deserialize for distributed::member::Service>::deserialize::__Visitor as serde::de::Visitor>::visit_enum::__Visitor as serde::de::Visitor>::visit_map
      707 (0.1%)      8 (0.0%)  <hashbrown::raw::RawIntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
      703 (0.1%)      1 (0.0%)  stract_core::searcher::api::ApiSearcher::stackoverflow_sidebar::{{closure}}
      702 (0.1%)     39 (0.1%)  tokio::runtime::context::budget::{{closure}}
      700 (0.1%)     23 (0.1%)  core::option::Option<T>::unwrap_or_else
      700 (0.1%)     20 (0.1%)  bincode::internal::serialized_size
      700 (0.1%)     10 (0.0%)  <futures_util::stream::futures_unordered::task::Task<Fut> as futures_task::arc_wake::ArcWake>::wake_by_ref
      700 (0.1%)      7 (0.0%)  core::slice::sort::insertion_sort_shift_left
      698 (0.1%)      1 (0.0%)  stract_core::api::webgraph::host::knows::{{closure}}
      697 (0.1%)     12 (0.0%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::adapters::fuse::FuseImpl<I>>::next
      697 (0.1%)      1 (0.0%)  stract_core::searcher::api::ApiSearcher::discussions_widget::{{closure}}
      694 (0.1%)      6 (0.0%)  serde::de::MapAccess::next_entry_seed
      694 (0.1%)      4 (0.0%)  <hyper::server::server::new_svc::NewSvcTask<I,N,S,E,W> as core::future::future::Future>::poll::{{closure}}
      693 (0.1%)      1 (0.0%)  scylla::transport::topology::MetadataReader::new::{{closure}}
      691 (0.1%)      6 (0.0%)  core::iter::adapters::flatten::and_then_or_clear
      690 (0.1%)     46 (0.1%)  <bincode::ser::Compound<W,O> as serde::ser::SerializeStruct>::serialize_field
      690 (0.1%)      2 (0.0%)  <hyper::server::server::new_svc::NewSvcTask<I,N,S,E,W> as core::future::future::Future>::poll
      689 (0.1%)      5 (0.0%)  tokio::sync::mpsc::chan::channel
      689 (0.1%)      1 (0.0%)  <stract::CentralityMode as clap_builder::derive::Subcommand>::augment_subcommands
      684 (0.1%)      1 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::ApiConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      682 (0.1%)      2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_loop
      680 (0.1%)      8 (0.0%)  sonic::service::Server<S>::accept::{{closure}}::{{closure}}::{{closure}}
      678 (0.1%)      2 (0.0%)  <F as axum::handler::Handler<(M,T1),S,B>>::call::{{closure}}
      676 (0.1%)      1 (0.0%)  h2::proto::streams::prioritize::Prioritize::poll_complete
      663 (0.0%)    141 (0.5%)  core::mem::drop
      663 (0.0%)     37 (0.1%)  alloc::sync::Arc<T,A>::drop_slow
      663 (0.0%)      5 (0.0%)  stract_core::crawler::worker::WorkerThread::process_url::{{closure}}::{{closure}}
      662 (0.0%)     13 (0.0%)  core::task::poll::Poll<core::result::Result<T,E>>::map_err
      662 (0.0%)      1 (0.0%)  <(T1,T2,T3,T4,T5,T6) as scylla_cql::frame::response::cql_to_rust::FromRow>::from_row
      660 (0.0%)      3 (0.0%)  alloc::collections::vec_deque::VecDeque<T,A>::handle_capacity_increase
      659 (0.0%)      4 (0.0%)  serde_json::de::Deserializer<R>::deserialize_number
      657 (0.0%)      1 (0.0%)  <stract::IndexingOptions as clap_builder::derive::Subcommand>::augment_subcommands
      656 (0.0%)     16 (0.1%)  core::pin::Pin<&mut T>::map_unchecked_mut
      652 (0.0%)      4 (0.0%)  alloc::boxed::Box<dyn core::any::Any,A>::downcast
      650 (0.0%)    130 (0.4%)  <&mut T as core::ops::deref::DerefMut>::deref_mut
      650 (0.0%)     50 (0.2%)  <core::pin::Pin<P> as core::ops::deref::DerefMut>::deref_mut
      649 (0.0%)      1 (0.0%)  hyper::proto::h1::decode::Decoder::decode
      648 (0.0%)      6 (0.0%)  core::slice::<impl [T]>::reverse
      644 (0.0%)     14 (0.0%)  <tracing::instrument::Instrumented<T> as core::future::future::Future>::poll
      644 (0.0%)      7 (0.0%)  core::slice::sort::provide_sorted_batch
      644 (0.0%)      1 (0.0%)  hyper::proto::h1::decode::ChunkedState::read_size_lf
      643 (0.0%)      4 (0.0%)  stract_core::entrypoint::webgraph_server::_::<impl serde::ser::Serialize for stract_core::entrypoint::webgraph_server::ScoredSite>::serialize
      643 (0.0%)      4 (0.0%)  webgraph::_::<impl serde::ser::Serialize for webgraph::FullEdge>::serialize
      641 (0.0%)     10 (0.0%)  core::option::Option<T>::map_or
      640 (0.0%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::drop_reference
      639 (0.0%)      3 (0.0%)  stract_core::searcher::_::<impl serde::ser::Serialize for stract_core::searcher::InitialWebsiteResult>::serialize
      638 (0.0%)      1 (0.0%)  scylla::transport::session::RequestSpan::new_prepared
      636 (0.0%)     48 (0.2%)  core::mem::replace
      636 (0.0%)      2 (0.0%)  <(T1,T2,T3) as scylla_cql::frame::response::cql_to_rust::FromRow>::from_row
      633 (0.0%)      1 (0.0%)  stract_core::crawler::robots_txt::RobotsTxtManager::fetch_robots_txt::{{closure}}
      632 (0.0%)      2 (0.0%)  stract_core::searcher::_::<impl serde::ser::Serialize for stract_core::searcher::WebsitesResult>::serialize
      632 (0.0%)      1 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::IndexingLocalConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      629 (0.0%)      1 (0.0%)  chitchat::server::Server::run::{{closure}}
      629 (0.0%)      1 (0.0%)  stract_core::searcher::distributed::DistributedSearcher::retrieve_webpages::{{closure}}
      626 (0.0%)      1 (0.0%)  stract_core::api::webgraph::host::similar::{{closure}}
      625 (0.0%)      7 (0.0%)  axum::routing::Fallback<S,B,E>::map
      624 (0.0%)     22 (0.1%)  <serde::__private::de::missing_field::MissingFieldDeserializer<E> as serde::de::Deserializer>::deserialize_any
      624 (0.0%)      6 (0.0%)  alloc::slice::hack::into_vec
      622 (0.0%)    131 (0.4%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
      620 (0.0%)     19 (0.1%)  axum::routing::method_routing::on
      620 (0.0%)     10 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::descend
      620 (0.0%)      9 (0.0%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::correct_childrens_parent_links
      619 (0.0%)      1 (0.0%)  <axum::middleware::from_fn::FromFn<F,S,I,(T1,T2,T3)> as tower_service::Service<http::request::Request<B>>>::call::{{closure}}
      618 (0.0%)      1 (0.0%)  <stract::Commands as clap_builder::derive::FromArgMatches>::from_arg_matches_mut
      616 (0.0%)      2 (0.0%)  stract_core::search_prettifier::_::<impl serde::ser::Serialize for stract_core::search_prettifier::Snippet>::serialize
      614 (0.0%)      5 (0.0%)  <serde::de::impls::<impl serde::de::Deserialize for (T0,T1)>::deserialize::TupleVisitor<T0,T1> as serde::de::Visitor>::visit_seq
      612 (0.0%)     17 (0.1%)  <toml_edit::de::table::TableMapAccess as serde::de::MapAccess>::next_key_seed::{{closure}}
      612 (0.0%)      4 (0.0%)  <&mut serde_json::ser::Serializer<W,F> as serde::ser::Serializer>::serialize_newtype_variant
      608 (0.0%)      8 (0.0%)  stract::load_toml_config
      606 (0.0%)      1 (0.0%)  hyper::proto::h1::role::parse_headers
      605 (0.0%)     40 (0.1%)  <alloc::sync::Arc<T,A> as core::ops::deref::Deref>::deref
      603 (0.0%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::WidgetsConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
      601 (0.0%)      1 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CrawlerConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
      600 (0.0%)     10 (0.0%)  futures_util::stream::futures_unordered::FuturesUnordered<Fut>::atomic_load_head_and_len_all
      600 (0.0%)     10 (0.0%)  futures_util::stream::futures_unordered::ready_to_run_queue::ReadyToRunQueue<Fut>::enqueue
